,date,basinName,damName,energyGeneration,damId
122,2025-11-18 00:00:00+03:00,Batı Karadeniz,HASANLAR,1.5,28
123,2025-11-18 00:00:00+03:00,Batı Karadeniz,KÖPRÜBAŞI,18.81,29
124,2025-11-18 00:00:00+03:00,Yeşilırmak,KILIÇKAYA,85.83,31
125,2025-11-18 00:00:00+03:00,Yeşilırmak,H.UĞURLU,81.44,32
126,2025-11-18 00:00:00+03:00,Yeşilırmak,ALMUS,23.11,35
127,2025-11-18 00:00:00+03:00,Yeşilırmak,TEPEKIŞLA,0.86,38
128,2025-11-18 00:00:00+03:00,Kızılırmak,ALTINKAYA,240.57,41
129,2025-11-18 00:00:00+03:00,Kızılırmak,DERBENT,1.84,42
130,2025-11-18 00:00:00+03:00,Kızılırmak,KESİKKÖPRÜ,5.13,44
131,2025-11-18 00:00:00+03:00,Kızılırmak,KAPULUKAYA,6.96,45
132,2025-11-18 00:00:00+03:00,Kızılırmak,OBRUK,15.99,47
133,2025-11-18 00:00:00+03:00,Kızılırmak,BAYRAMHACILI HES,5.8,48
134,2025-11-18 00:00:00+03:00,Kızılırmak,ÇERMİKLER,0.4,50
135,2025-11-18 00:00:00+03:00,Doğu Akdeniz,BERDAN,2.35,53
136,2025-11-18 00:00:00+03:00,Doğu Akdeniz,GÖKÇELER,0.3,1001
137,2025-11-18 00:00:00+03:00,Seyhan,KARAKUZ,2.29,1002
138,2025-11-18 00:00:00+03:00,Doğu Akdeniz,PAMUKLUK,32.2,1101
139,2025-11-18 00:00:00+03:00,Van Gölü,MORGEDİK,6.17,1201
140,2025-11-18 00:00:00+03:00,Sakarya,GÜRSÖĞÜT-2,0.1,1701
141,2025-11-18 00:00:00+03:00,Antalya,OYMAPINAR,5.47,19
142,2025-11-18 00:00:00+03:00,Sakarya,GÖKÇEKAYA,18.23,24
143,2025-11-18 00:00:00+03:00,Yeşilırmak,ATAKÖY,0.04,30
144,2025-11-18 00:00:00+03:00,Yeşilırmak,ÇAMLIGÖZE,1.17,33
145,2025-11-18 00:00:00+03:00,Yeşilırmak,GÖLOVA,0.22,36
146,2025-11-18 00:00:00+03:00,Kızılırmak,YAMULA,21.12,46
147,2025-11-18 00:00:00+03:00,Kızılırmak,BOYABAT,187.27,49
148,2025-11-18 00:00:00+03:00,Kızılırmak,GÜLDÜRCEK,0.62,51
149,2025-11-18 00:00:00+03:00,Ceyhan,ADATEPE,17.95,201
150,2025-11-18 00:00:00+03:00,Doğu Karadeniz,YAŞMAKLI,18.77,703
