iter	Passed	Remaining
1618	9545	2246
1619	9551	2240
1620	9557	2234
1621	9562	2228
1622	9568	2222
1623	9574	2216
1624	9579	2210
1625	9585	2204
1626	9590	2198
1627	9596	2192
1628	9602	2186
1629	9608	2181
1630	9613	2175
1631	9619	2169
1632	9624	2163
1633	9630	2157
1634	9635	2151
1635	9641	2145
1636	9647	2139
1637	9652	2133
1638	9658	2127
1639	9663	2121
1640	9669	2115
1641	9675	2109
1642	9680	2103
1643	9686	2097
1644	9691	2091
1645	9697	2085
1646	9703	2079
1647	9709	2073
1648	9714	2067
1649	9720	2061
1650	9726	2056
1651	9731	2050
1652	9737	2044
1653	9742	2038
1654	9748	2032
1655	9753	2026
1656	9759	2020
1657	9765	2014
1658	9770	2008
1659	9776	2002
1660	9782	1996
1661	9787	1990
1662	9793	1984
1663	9798	1978
1664	9804	1972
1665	9810	1966
1666	9816	1960
1667	9822	1954
1668	9827	1949
1669	9833	1943
1670	9839	1937
1671	9844	1931
1672	9850	1925
1673	9855	1919
1674	9861	1913
