,kontratTuru,kontratAdi,clearingQuantityAsk,clearingQuantityBid
166776,Blok,PB23031818-04,50.0,50.0
166777,Saatlik,PH23031818,1345.3,1345.3
166783,Blok,PB23031819-01,1266.6,1266.6
166784,Saatlik,PH23031819,1566.5,1566.5
166789,Blok,PB23031820-01,1017.4,1017.4
166790,Blok,PB23031820-04,1.0,1.0
166791,Saatlik,PH23031820,1484.7,1484.7
166797,Blok,PB23031821-01,1098.9,1098.9
166798,Saatlik,PH23031821,1774.5,1774.5
166803,Blok,PB23031822-01,1025.0,1025.0
166804,Saatlik,PH23031822,1340.7,1340.7
166809,Blok,PB23031823-01,1055.5,1055.5
166810,Saatlik,PH23031823,1603.2,1603.2
166811,Blok,PB23031900-01,594.0,594.0
166812,Blok,PB23031900-03,1.0,1.0
166813,Blok,PB23031900-07,150.0,150.0
166814,Blok,PB23031900-12,6.0,6.0
166815,Blok,PB23031900-24,2.7,2.7
166816,Saatlik,PH23031900,1043.9,1043.9
166821,Blok,PB23031901-01,593.3,593.3
166822,Blok,PB23031901-03,2.5,2.5
166823,Saatlik,PH23031901,742.7,742.7
166829,Blok,PB23031902-01,536.7,536.7
166830,Saatlik,PH23031902,799.5,799.5
166835,Blok,PB23031903-01,567.7,567.7
166836,Saatlik,PH23031903,581.1,581.1
166840,Blok,PB23031904-01,607.3,607.3
166841,Saatlik,PH23031904,590.9,590.9
166845,Blok,PB23031905-01,615.8,615.8
166846,Saatlik,PH23031905,597.9,597.9
166850,Blok,PB23031906-01,664.3,664.3
166851,Saatlik,PH23031906,784.6,784.6
166854,Blok,PB23031907-01,1031.0,1031.0
166855,Saatlik,PH23031907,1577.9,1577.9
166858,Blok,PB23031908-01,1048.2,1048.2
166859,Saatlik,PH23031908,872.0,872.0
166862,Blok,PB23031909-01,730.9,730.9
166863,Blok,PB23031909-02,100.0,100.0
166864,Saatlik,PH23031909,1092.9,1092.9
166868,Blok,PB23031910-01,751.9,751.9
166869,Blok,PB23031910-02,0.2,0.2
166870,Saatlik,PH23031910,919.4,919.4
166874,Blok,PB23031911-01,819.3,819.3
166875,Blok,PB23031911-05,125.0,125.0
166876,Saatlik,PH23031911,1213.6,1213.6
166879,Blok,PB23031912-01,857.0,857.0
166880,Blok,PB23031912-12,4.0,4.0
166881,Saatlik,PH23031912,1261.0,1261.0
166885,Blok,PB23031913-01,808.4,808.4
166886,Blok,PB23031913-11,5.0,5.0
166887,Saatlik,PH23031913,1432.6,1432.6
166892,Blok,PB23031914-01,853.4,853.4
166893,Saatlik,PH23031914,1611.0,1611.0
166898,Blok,PB23031915-01,917.6,917.6
166899,Saatlik,PH23031915,1609.1,1609.1
166903,Blok,PB23031916-01,706.7,706.7
166904,Blok,PB23031916-03,199.7,199.7
166905,Saatlik,PH23031916,1665.5,1665.5
166910,Blok,PB23031917-01,851.6,851.6
166911,Saatlik,PH23031917,1999.1,1999.1
166916,Blok,PB23031918-01,823.5,823.5
166917,Blok,PB23031918-02,0.8,0.8
166918,Saatlik,PH23031918,1287.1,1287.1
166923,Blok,PB23031919-01,837.4,837.4
166924,Blok,PB23031919-02,50.0,50.0
166925,Saatlik,PH23031919,865.9,865.9
166930,Blok,PB23031920-01,809.0,809.0
166931,Saatlik,PH23031920,1020.2,1020.2
166935,Blok,PB23031921-01,808.2,808.2
166936,Saatlik,PH23031921,1029.0,1029.0
166940,Blok,PB23031922-01,835.8,835.8
166941,Saatlik,PH23031922,961.3,961.3
166945,Blok,PB23031923-01,895.0,895.0
166946,Saatlik,PH23031923,1894.3,1894.3
166947,Blok,PB23032000-01,604.5,604.5
166948,Blok,PB23032000-24,2.7,2.7
166949,Saatlik,PH23032000,840.8,840.8
166951,Blok,PB23032001-01,684.3,684.3
166952,Saatlik,PH23032001,999.7,999.7
166954,Blok,PB23032002-01,527.8,527.8
166955,Blok,PB23032002-03,100.0,100.0
166956,Saatlik,PH23032002,884.4,884.4
166959,Blok,PB23032003-01,555.9,555.9
166960,Saatlik,PH23032003,751.1,751.1
166963,Blok,PB23032004-01,528.3,528.3
166964,Saatlik,PH23032004,724.7,724.7
166966,Blok,PB23032005-01,523.9,523.9
166967,Blok,PB23032005-02,75.0,75.0
166968,Saatlik,PH23032005,931.2,931.2
166971,Blok,PB23032006-01,545.1,545.1
166972,Saatlik,PH23032006,939.1,939.1
166974,Blok,PB23032007-01,603.3,603.3
166975,Saatlik,PH23032007,1217.3,1217.3
166977,Blok,PB23032008-01,757.7,757.7
166978,Blok,PB23032008-02,93.8,93.8
166979,Saatlik,PH23032008,994.7,994.7
166982,Blok,PB23032009-01,653.4,653.4
166983,Saatlik,PH23032009,1311.5,1311.5
166985,Blok,PB23032010-01,643.9,643.9
166986,Blok,PB23032010-02,53.4,53.4
166987,Saatlik,PH23032010,1162.4,1162.4
166990,Blok,PB23032011-01,609.2,609.2
166991,Blok,PB23032011-04,2.5,2.5
166992,Saatlik,PH23032011,1156.4,1156.4
166995,Blok,PB23032012-01,546.1,546.1
166996,Blok,PB23032012-04,0.6,0.6
166997,Saatlik,PH23032012,1167.3,1167.3
167001,Blok,PB23032013-01,610.1,610.1
167002,Blok,PB23032013-02,5.0,5.0
167003,Blok,PB23032013-03,50.2,50.2
167004,Saatlik,PH23032013,1522.7,1522.7
167010,Blok,PB23032014-01,548.0,548.0
167011,Blok,PB23032014-02,6.0,6.0
167012,Saatlik,PH23032014,1522.5,1522.5
167017,Blok,PB23032015-01,483.7,483.7
167018,Saatlik,PH23032015,1117.5,1117.5
167020,Blok,PB23032016-01,569.7,569.7
167021,Saatlik,PH23032016,1250.5,1250.5
167023,Blok,PB23032017-01,1000.3,1000.3
167024,Blok,PB23032017-02,0.6,0.6
167025,Blok,PB23032017-07,50.0,50.0
167026,Saatlik,PH23032017,2265.2,2265.2
167030,Blok,PB23032018-01,561.4,561.4
167031,Blok,PB23032018-02,0.8,0.8
167032,Saatlik,PH23032018,1349.3,1349.3
167036,Blok,PB23032019-01,704.8,704.8
167037,Blok,PB23032019-02,0.7,0.7
167038,Saatlik,PH23032019,1459.2,1459.2
167042,Blok,PB23032020-01,442.2,442.2
167043,Saatlik,PH23032020,1203.5,1203.5
167046,Blok,PB23032021-01,528.2,528.2
167047,Blok,PB23032021-03,0.9,0.9
167048,Saatlik,PH23032021,1854.3,1854.3
167052,Blok,PB23032022-01,684.2,684.2
167053,Saatlik,PH23032022,2641.9,2641.9
167057,Blok,PB23032023-01,512.1,512.1
167058,Saatlik,PH23032023,2436.9,2436.9
167059,Blok,PB23032100-01,463.5,463.5
167060,Blok,PB23032100-24,102.7,102.7
167061,Saatlik,PH23032100,624.5,624.5
167063,Blok,PB23032101-01,333.2,333.2
167064,Blok,PB23032101-02,25.0,25.0
167065,Saatlik,PH23032101,561.9,561.9
167068,Blok,PB23032102-01,397.3,397.3
167069,Saatlik,PH23032102,547.3,547.3
167071,Blok,PB23032103-01,511.1,511.1
